Plant Code,geometry,Distance,capacity_factor,wind_speed
56112,POINT (-116.5914 33.9141),0.014987312133938769,0.522,10.51
56123,POINT (-96.391944 43.6383),0.007665024592272832,0.409,7.48
56142,POINT (-96.0446 44.011),0.006938022917232259,0.49,8.47
56153,POINT (-96.011809 43.983462),0.005928684508388599,0.487,8.4
56160,POINT (-89.0492 41.7194),0.008764023391110778,0.422,7.65
56162,POINT (-99.8917 42.4489),0.0085617466675909,0.476,8.41
56172,POINT (-95.2997 43.3897),0.009528848933629985,0.434,7.76
56173,POINT (-102.6231 37.7033),0.007666718854895636,0.464,8.49
56174,POINT (-96.0667 44.0667),0.004465558979564152,0.49,8.47
56195,POINT (-118.591 45.943),0.012668317212648968,0.389,7.24
57137,POINT (-118.591 45.943),0.012668317212648968,0.389,7.24
56199,POINT (-96.2236 43.9897),0.007285501218173372,0.467,8.14
56200,POINT (-96.2186 43.9931),0.003280994971045647,0.467,8.14
56203,POINT (-96.215556 43.988611),0.008683493363846832,0.467,8.14
56201,POINT (-96.219444 43.984444),0.007036503179853848,0.466,8.11
56202,POINT (-96.223333 43.980278),0.004433064177296337,0.466,8.11
56204,POINT (-96.0736 44.0364),0.009306361963734473,0.489,8.45
56205,POINT (-96.0789 44.0236),0.014639063153082863,0.484,8.37
56207,POINT (-95.368611 43.651389),0.0278202949840611,0.466,8.11
56208,POINT (-95.3825 43.651389),0.015078700806113664,0.466,8.11
56210,POINT (-95.3755 43.651389),0.021322035972207002,0.466,8.11
56209,POINT (-96.0933 44.05),0.0033374397372821565,0.483,8.37
56211,POINT (-100.3389 32.3606),0.00704764648659171,0.508,8.94
56212,POINT (-100.3703 32.3472),0.006388780321778244,0.52,8.99
56215,POINT (-95.6333 43.4),0.004792045492271444,0.44,7.82
56225,POINT (-101.3278 36.4725),0.015685639929559455,0.46,8.24
56226,POINT (-83.7383 41.3786),0.004915162764344406,0.411,7.01
56240,POINT (-100.061589 32.311556),0.012843972944540677,0.53,9.13
56251,POINT (-95.3283 42.5539),0.007545274680226273,0.445,7.88
56252,POINT (-93.6369 42.5644),0.0084890424666167,0.456,7.99
56255,POINT (-117.8331 46.4211),0.013658209875378769,0.437,7.94
56270,POINT (-100.021667 32.303889),0.016553025493848583,0.531,9.08
56271,POINT (-121.614392 37.763653),0.003139294506733861,0.438,7.74
56273,POINT (-98.7346 35.5094),0.007028672207464745,0.509,8.71
56275,POINT (-118.3952 35.0925),0.006086329764313422,0.38,7.64
56276,POINT (-118.3811 35.0772),0.003921731505345776,0.446,8.43
56290,POINT (-75.5753 43.7853),0.003423174111845243,0.437,7.91
56291,POINT (-100.05712 32.214024),0.01021841695176561,0.488,8.51
56293,POINT (-103.353889 34.980556),0.0030795330814997897,0.474,9.65
56295,POINT (-116.3425 32.705556),0.0062946391477203475,0.428,7.92
59328,POINT (-116.354587 32.702107),0.0070448239154658416,0.428,7.92
56296,POINT (-94.8499 43.7938),0.008628067338629702,0.46,7.99
56297,POINT (-89.5708 41.25),0.011576814976486854,0.439,7.83
56299,POINT (-75.753056 41.235278),0.03650733504379708,0.49,8.1
56300,POINT (-74.4475 39.382222),0.0035965608572649543,0.398,7.41
56301,POINT (-111.8294 43.4195),0.004033208400278695,0.414,7.5
56302,POINT (-118.292406 35.06094),0.006972550824474968,0.546,10.9
56303,POINT (-96.5503 37.5797),0.005550973338069738,0.516,8.81
56304,POINT (-103.8604 33.9716),0.004834638869659499,0.381,8.44
56307,POINT (-92.724139 43.554778),0.0019648880375241016,0.438,7.58
56308,POINT (-114.949444 42.858056),0.004466008732640148,0.337,6.8
56311,POINT (-100.4219 32.290833),0.031861606393901766,0.507,8.76
56320,POINT (-102.9647 40.983),0.00936339361555662,0.403,7.89
56322,POINT (-120.206494 47.036269),0.0030278325581155137,0.417,8.07
56335,POINT (-98.6056 34.8661),0.009867479212042203,0.487,9.1
56336,POINT (-105.0108 34.8147),0.012200789031857088,0.39,8.72
56337,POINT (-100.5303 32.3122),0.027203019703707764,0.492,8.61
56338,POINT (-88.7989 40.4792),0.007939276037521509,0.411,7.53
56614,POINT (-88.7989 40.4792),0.007939276037521509,0.411,7.53
56347,POINT (-88.329742 43.692647),0.0020787852221837615,0.497,7.78
56351,POINT (-99.7528 37.8641),0.006480671878746056,0.515,8.45
56355,POINT (-93.206389 42.630513),0.07516601158102526,0.45,7.94
56357,POINT (-100.7333 47.1167),0.011642177846084312,0.469,8.23
56359,POINT (-120.593 45.571),0.008786423219949518,0.443,8.11
56360,POINT (-120.209783 45.652457),0.005654839078167417,0.386,7.12
56361,POINT (-120.2896 45.8877),0.006796814695122499,0.38,7.4
56362,POINT (-121.85 38.12),0.010090091178973047,0.438,7.14
56369,POINT (-79.138 39.85),0.0064896200967424714,0.494,8.82
56371,POINT (-104.0206 40.8944),0.01480640597849231,0.418,8.24
56372,POINT (-100.4833 32.236944),0.09831290854206243,0.477,8.41
56376,POINT (-90.8461 39.6189),0.010829344670846834,0.457,7.5
56377,POINT (-109.7531 46.5725),0.012672507762866882,0.395,7.76
56378,POINT (-155.6914 18.9742),37.38466410202751,0.456,8.91
56447,POINT (-155.850382 20.257252),36.88985721294948,0.456,8.91
56449,POINT (-156.551 20.81421),37.24691171629675,0.456,8.91
57082,POINT (-156.536 20.79467),37.24258313165838,0.456,8.91
57996,POINT (-156.318 20.596),37.141546501935345,0.456,8.91
56379,POINT (-95.1292 42.1169),0.01606166358133732,0.452,7.95
56380,POINT (-99.601869 36.637733),0.056613089166724216,0.465,8.24
56383,POINT (-93.2978 43.3608),0.006568708396636544,0.442,7.8
56386,POINT (-93.3208 43.3597),0.008780297773997503,0.444,7.82
56391,POINT (-88.2708 43.8794),0.007003894059734961,0.442,7.69
56392,POINT (-101.197716 47.152847),0.008218063336335405,0.481,8.39
56573,POINT (-101.197716 47.152847),0.008218063336335405,0.481,8.39
56394,POINT (-101.22 32.039),0.08368414488420246,0.479,8.47
56395,POINT (-99.4928 32.6256),0.008471911531647969,0.496,8.62
56399,POINT (-72.1455 43.233),0.011692382178147063,0.512,8.55
56408,POINT (-89.6236 41.3017),0.008088251232497358,0.426,7.67
56409,POINT (-96.4303 44.0256),0.029693883040119398,0.419,7.61
56410,POINT (-96.4369 44.0247),0.03632269937655621,0.419,7.61
56411,POINT (-96.4367 44.015),0.0394485980739521,0.419,7.61
56412,POINT (-96.4406 44.0211),0.040819802669788505,0.419,7.61
56413,POINT (-96.4331 44.0208),0.03380744725648216,0.419,7.61
56414,POINT (-95.175 44.502778),0.08208898293923989,0.439,7.42
56415,POINT (-94.446667 43.575),0.0016109053355182505,0.447,7.83
56416,POINT (-82.9633 43.7092),0.01164425566534508,0.473,7.65
56424,POINT (-92.59882 43.61407),0.008603380091569439,0.454,7.96
56432,POINT (-102.303056 35.291944),0.006813755498992334,0.44,9.06
56433,POINT (-118.175356 35.248006),0.011919588793249426,0.468,9.42
56434,POINT (-113.926605 42.490341),0.026391360953916802,0.352,6.71
56435,POINT (-113.925536 42.436804),0.033160730827283616,0.352,6.71
56437,POINT (-114.017297 42.460629),0.008545004212989505,0.355,6.58
56439,POINT (-114.989722 42.840556),0.005416571332496057,0.35,6.94
56440,POINT (-114.998611 42.7975),0.006515889655301641,0.345,6.92
57126,POINT (-114.988611 42.770833),0.02905977888765973,0.345,6.92
56441,POINT (-114.989167 42.681944),0.00440088082093137,0.341,6.9
56442,POINT (-114.967778 42.870278),0.01283234807040371,0.345,6.82
56443,POINT (-114.969342 42.836854),0.021556870505705657,0.352,6.95
56446,POINT (-121.6672 37.805),0.007311146148171481,0.401,7.28
56448,POINT (-67.8111 46.54422),0.002324385940417046,0.478,8.12
56450,POINT (-89.173056 41.643611),0.0086737859092838,0.458,7.41
56451,POINT (-78.579444 40.383889),0.005546367820483437,0.527,9.18
56457,POINT (-101.219397 32.92544),0.002877503431802869,0.465,8.3
56459,POINT (-96.3444 44.2667),0.010731553941536645,0.499,8.58
56460,POINT (-102.8622 37.6735),0.010684203386312475,0.47,8.6
56466,POINT (-117.7772 46.3747),0.006761776098039793,0.458,8.26
56468,POINT (-120.5042 45.5836),0.0057494676275281235,0.435,7.96
56470,POINT (-76.1292 40.855),0.004919695925564064,0.465,8.27
56479,POINT (-101.302637 31.991442),0.03868203620545172,0.469,8.41
56483,POINT (-99.6564 32.5144),0.11813513008839209,0.477,8.37
56484,POINT (-100.176986 32.318221),0.004195069129344737,0.534,9.21
56485,POINT (-120.603414 45.653745),0.00688298430915017,0.441,7.94
56487,POINT (-120.341883 45.815467),0.006386075868627322,0.447,8.2
57152,POINT (-120.3475 45.8131),0.012358282121709257,0.447,8.2
56488,POINT (-98.160159 38.879936),0.009883143325881688,0.469,8.31
56493,POINT (-84.344168 36.127092),0.010025763861170798,0.424,7.75
7927,POINT (-84.338733 36.120994),0.0046085323043304725,0.424,7.75
56494,POINT (-92.6272 43.6861),0.012114100957153633,0.453,7.99
56495,POINT (-79.2094 39.2175),0.003191662419495827,0.499,9.67
56501,POINT (-94.7467 42.5842),0.009242536718885988,0.457,7.98
56506,POINT (-100.9952 32.7204),0.010547400912071337,0.421,7.82
56536,POINT (-95.4683 40.4535),0.011459297098866674,0.422,7.59
56537,POINT (-94.6722 40.2572),0.006881778839802917,0.417,7.57
56538,POINT (-95.54 40.4144),0.01688455166713875,0.423,7.54
56543,POINT (-95.9222 43.9358),0.013512009806095814,0.455,8.03
56544,POINT (-95.1306 43.9578),0.07235654132143118,0.503,8.54
56555,POINT (-94.4869 40.1006),0.00216808878969315,0.441,7.82
56560,POINT (-101.3864 36.4144),0.003344532403788823,0.471,8.39
56561,POINT (-101.8761 36.4453),0.05237738001274376,0.452,8.21
56562,POINT (-101.8222 36.4669),0.005908158511756264,0.452,8.21
56563,POINT (-103.436 40.986),0.04105859190230489,0.4,8.02
56570,POINT (-118.3789 35.1161),0.0047580887969811275,0.398,7.11
56575,POINT (-78.8675 42.8167),0.009501421419987903,0.373,6.89
56577,POINT (-96.1361 44.1508),0.008709694024472957,0.502,8.62
56580,POINT (-94.1536 43.6558),0.05757200944903703,0.435,7.7
56581,POINT (-94.1564 43.6558),0.055985872075011434,0.435,7.7
57289,POINT (-94.191944 43.612222),0.00575113936538962,0.435,7.7
56586,POINT (-95.78 43.5811),0.005546757070577854,0.447,7.93
56587,POINT (-95.7781 43.5833),0.004641800728169828,0.447,7.93
56588,POINT (-95.776111 43.586111),0.005423567091870226,0.447,7.93
56589,POINT (-95.775833 43.581111),0.007792467388443352,0.447,7.93
56590,POINT (-95.780278 43.586111),0.0012879025584314027,0.447,7.93
56591,POINT (-111.4392 47.4983),0.0066929386669868935,0.389,7.51
56592,POINT (-100.6481 32.3983),0.014392643433369769,0.459,8.19
56593,POINT (-100.6664 32.4694),0.009741291136187791,0.462,8.24
56594,POINT (-75.5697 42.9086),0.007494669372295154,0.388,7.36
56602,POINT (-100.738949 32.739294),0.012886610182663715,0.482,8.49
56605,POINT (-98.315 48.63),0.0201671255760425,0.473,8.2
56912,POINT (-98.3164 48.6292),0.02037252448765246,0.473,8.2
57033,POINT (-98.3169 48.6303),0.019167789491747154,0.473,8.2
56607,POINT (-101.269189 47.933621),0.00678264587015739,0.495,8.52
56608,POINT (-98.7875 43.886389),0.02114559552246757,0.49,8.47
56613,POINT (-103.259 40.941),0.03862730756861405,0.425,8.32
56617,POINT (-96.018333 43.852778),0.044554924755848574,0.475,8.26
56618,POINT (-74.0061 44.8914),0.012780160953611548,0.487,7.9
56619,POINT (-74.0061 44.8914),0.012780160953611548,0.487,7.9
56620,POINT (-78.3047 42.5367),0.04187772335024045,0.486,8.01
56621,POINT (-99.500556 36.640278),0.008706592042809711,0.481,8.3
56622,POINT (-89.5572 41.2294),0.005195642501176431,0.435,7.75
56623,POINT (-117.816273 45.085221),0.011435069042204494,0.429,7.82
56624,POINT (-95.4253 43.6183),0.005686941181340478,0.465,8.08
56625,POINT (-95.4169 43.6292),0.008140374684245118,0.465,8.08
56626,POINT (-95.4172 43.6181),0.005936303563668473,0.465,8.08
56627,POINT (-95.4314 43.6247),0.010340391675368987,0.465,8.08
56628,POINT (-95.3833 43.5958),0.01475294526526732,0.463,8.05
56630,POINT (-92.5917 47.5747),0.0049114661762060625,0.483,7.75
56633,POINT (-77.4967 42.5456),0.00742214443406197,0.362,7.07
56634,POINT (-77.52 42.45),0.016131514281055605,0.507,8.15
56635,POINT (-83.2064 43.83),0.007830800980741116,0.394,7.34
56636,POINT (-115.4656 43.0272),0.014831247081759811,0.325,6.67
57428,POINT (-115.463289 43.006133),0.03301757962056285,0.325,6.67
57444,POINT (-115.482592 43.033781),0.005384049126815643,0.325,6.67
56637,POINT (-115.4803 43.0536),0.003480869000700683,0.319,6.62
57430,POINT (-115.452025 43.056622),0.031853786274160856,0.319,6.62
56638,POINT (-100.1 32.2878),0.0070454833758823035,0.529,9.04
56640,POINT (-89.639811 41.090583),0.008627194967083522,0.419,7.58
56644,POINT (-101.8367 32.2353),0.05037832734420151,0.419,7.91
56645,POINT (-95.4167 43.4303),0.00877818688567703,0.451,7.93
56913,POINT (-95.4167 43.4303),0.00877818688567703,0.451,7.93
56647,POINT (-88.481111 43.400278),0.012611579599717319,0.463,8.03
56648,POINT (-101.53 35.3919),0.013753040245703493,0.485,8.57
56649,POINT (-100.1286 32.4081),0.0355620866091943,0.437,8.11
56650,POINT (-98.590833 44.0025),0.022759321716607245,0.493,8.48
56651,POINT (-78.5436 40.4381),0.02589851665636542,0.554,9.68
56654,POINT (-121.8036 40.8981),0.004324583795003262,0.385,7.88
56659,POINT (-82.746944 43.663056),0.007371120538967031,0.491,7.88
57852,POINT (-82.758611 43.67),0.010324447152276291,0.491,7.88
56661,POINT (-97.5994 27.0011),0.00800530086879531,0.409,7.6
56665,POINT (-99.814456 35.529778),0.010181967688023806,0.513,8.78
56666,POINT (-120.521151 45.781825),0.008645024985505512,0.393,7.42
56669,POINT (-98.946325 45.959325),0.013818950937032184,0.528,8.78
56670,POINT (-100.9215 48.083625),0.0022919871291082515,0.392,7.33
56673,POINT (-101.0986 34.105),0.010548256775405983,0.415,8.66
56677,POINT (-92.62 43.0003),0.06571212522053078,0.41,7.32
56679,POINT (-87.4886 40.695),0.011492455960324582,0.392,7.33
56699,POINT (-78.8633 40.0853),0.004293140225997643,0.489,8.63
56700,POINT (-78.9183 39.8794),0.019332078031090355,0.46,8.5
56702,POINT (-120.8072 45.8797),0.03932035662351233,0.306,5.89
56750,POINT (-95.2525 44.057778),0.012175215521702674,0.481,8.28
56751,POINT (-111.582222 40.071389),0.011864643694610677,0.301,6.0
56752,POINT (-110.480741 41.288056),0.004890847472568098,0.442,8.4
56753,POINT (-110.544444 41.263889),0.008401941323291333,0.429,8.28
56754,POINT (-100.791389 31.951944),0.030972008652974933,0.464,8.55
56755,POINT (-94.9142 43.8953),0.0979614089935353,0.473,8.14
56763,POINT (-101.018936 31.951958),0.0701517745819698,0.428,7.89
56764,POINT (-93.77 43.315),0.011339602991283022,0.468,8.1
56765,POINT (-93.091 43.393),0.006371727709181933,0.433,7.71
56767,POINT (-95.5228 40.575),0.06278725995773113,0.396,7.32
56770,POINT (-76.1547 40.8411),0.001086243527022046,0.471,8.22
56771,POINT (-98.476051 32.338659),0.0077838685754531255,0.518,8.65
56773,POINT (-100.967402 33.752201),0.009805925657477538,0.436,8.94
56774,POINT (-100.2686 32.1981),0.04468824366654362,0.492,8.57
56775,POINT (-100.793333 32.718056),0.020796390119438565,0.481,8.43
56776,POINT (-101.473611 32.240278),0.009257253372360068,0.47,8.13
56777,POINT (-87.3336 40.583889),0.012922929427963019,0.409,7.51
56779,POINT (-102.355628 30.807272),0.011484203455189156,0.491,9.52
56782,POINT (-104.1836 46.2753),0.010737695190310452,0.476,8.5
56783,POINT (-101.3986 32.1408),0.008402021304424797,0.479,8.5
56784,POINT (-97.6644 39.4375),0.022612950846812332,0.481,8.35
56789,POINT (-120.125 45.7119),0.007618094512405432,0.378,7.08
56790,POINT (-120.5744 45.52),0.011132940132768299,0.417,7.7
56791,POINT (-116.5527 33.9393),0.0199090895070606,0.473,9.81
58233,POINT (-116.555556 33.908889),0.013536620922515919,0.473,9.81
56792,POINT (-96.4779 44.4328),0.010303094341015569,0.463,8.16
56793,POINT (-94.9497 43.7542),0.008076750088978898,0.47,8.13
56794,POINT (-96.0784 44.1238),0.036609240377263805,0.488,8.44
56795,POINT (-97.498478 27.022112),0.045144073121500525,0.418,7.72
56796,POINT (-79.7271 39.7513),0.0016008725745655325,0.496,8.17
56797,POINT (-92.6131 43.4839),0.013190472508594358,0.429,7.68
56800,POINT (-70.856389 42.261111),0.019399901288417072,0.351,7.74
56804,POINT (-99.3828 35.535),0.010978950769540616,0.475,8.42
56805,POINT (-89.878428 42.451481),0.02295984181129554,0.466,7.54
56809,POINT (-94.93 42.1622),0.02511451590216977,0.45,7.94
56810,POINT (-94.665 41.4236),0.009837221152327519,0.433,7.73
56811,POINT (-95.2383 41.4517),0.022549739244611313,0.461,8.03
56818,POINT (-101.161472 38.503167),0.01984856795842834,0.43,7.93
56819,POINT (-98.460278 37.369167),0.01333437531344664,0.487,8.44
56823,POINT (-99.4228 32.7683),0.006774816971697494,0.506,8.74
56824,POINT (-95.8222 44.3236),0.011538370942207762,0.48,8.31
56826,POINT (-95.8242 44.3361),0.008092218731590387,0.48,8.31
56827,POINT (-95.8344 44.3303),0.003797473370551648,0.48,8.31
56828,POINT (-95.8297 44.3308),0.0011844002701697027,0.48,8.31
56825,POINT (-95.7942 44.3211),0.01354070415451391,0.467,8.14
56829,POINT (-70.5258 45.3853),0.020749622888140928,0.521,9.46
56831,POINT (-92.473611 43.397778),0.0033919590209761695,0.444,7.86
56835,POINT (-101.9789 35.8119),0.005192134146948773,0.423,8.02
56836,POINT (-101.9986 35.8081),0.003650129997680863,0.426,8.04
56837,POINT (-101.8033 35.9614),0.008754577831056083,0.444,8.15
56838,POINT (-101.8614 36.0075),0.06695461771230488,0.444,8.15
56839,POINT (-101.9 36.0264),0.1096583140167774,0.444,8.15
56840,POINT (-95.8142 44.3253),0.011226238194522063,0.468,8.18
56841,POINT (-105.835278 43.0181),0.024406312175335326,0.483,9.01
56842,POINT (-105.8543 43.0572),0.013002418928795369,0.508,9.37
56843,POINT (-106.3758 41.9203),0.010216943672154996,0.46,9.61
56854,POINT (-120.31832 45.675804),0.013164095715243702,0.397,7.32
56855,POINT (-120.2008 45.7167),0.008625143361128126,0.429,6.94
56856,POINT (-89.4022 40.3692),0.03522855553382589,0.445,7.31
56857,POINT (-73.929722 44.975833),0.007718045154049541,0.479,7.8
56858,POINT (-120.6872 47.1356),0.009332986070919763,0.441,7.5
56859,POINT (-94.9228 43.0475),0.007810015364895907,0.44,7.81
56860,POINT (-94.365 42.0822),0.007037113399683549,0.486,7.7
56874,POINT (-121.8461 38.1711),0.007935870777690607,0.472,7.5
57586,POINT (-121.846944 38.169444),0.008719175018314347,0.472,7.5
56876,POINT (-92.6822 43.8006),0.003511385054368478,0.45,7.96
56878,POINT (-87.2631 40.7178),0.010945054134167477,0.398,7.41
56879,POINT (-98.4583 37.3764),0.010367681756303477,0.485,8.42
56901,POINT (-73.6509 44.8216),0.012541816933758583,0.449,7.87
56902,POINT (-78.2278 42.6697),0.008317562383287944,0.522,8.35
